dim,n,method,seed,stochastic,shepard_p5__vs_ambient,shepard_p10__vs_ambient,shepard_p20__vs_ambient,shepard_p30__vs_ambient,shepard_p50__vs_ambient,shepard_p75__vs_ambient,shepard_p100__vs_ambient,stress_p5__vs_ambient,stress_fidelity_p5__vs_ambient,stress_p10__vs_ambient,stress_fidelity_p10__vs_ambient,stress_p20__vs_ambient,stress_fidelity_p20__vs_ambient,stress_p30__vs_ambient,stress_fidelity_p30__vs_ambient,stress_p50__vs_ambient,stress_fidelity_p50__vs_ambient,stress_p75__vs_ambient,stress_fidelity_p75__vs_ambient,stress_p100__vs_ambient,stress_fidelity_p100__vs_ambient,full_shepard,full_stress,full_stress_fidelity,shepard_p5__vs_truth,shepard_p10__vs_truth,shepard_p20__vs_truth,shepard_p30__vs_truth,shepard_p50__vs_truth,shepard_p75__vs_truth,shepard_p100__vs_truth,stress_p5__vs_truth,stress_fidelity_p5__vs_truth,stress_p10__vs_truth,stress_fidelity_p10__vs_truth,stress_p20__vs_truth,stress_fidelity_p20__vs_truth,stress_p30__vs_truth,stress_fidelity_p30__vs_truth,stress_p50__vs_truth,stress_fidelity_p50__vs_truth,stress_p75__vs_truth,stress_fidelity_p75__vs_truth,stress_p100__vs_truth,stress_fidelity_p100__vs_truth,recall_k5,recall_k15,recall_k30,trust_k5,trust_k15,trust_k30,cont_k5,cont_k15,cont_k30,knn_acc_k10,silhouette_2d,data_seed,shepard_near__vs_ambient,stress_near__vs_ambient,stress_fidelity_near__vs_ambient,near_band_pct__vs_ambient,near_band_fallback__vs_ambient,shepard_near__vs_truth,stress_near__vs_truth,stress_fidelity_near__vs_truth,near_band_pct__vs_truth,near_band_fallback__vs_truth,tight_cluster,tight_ratio_truth,tight_ratio_2d,tight_over_compression
6,1000,DREAMS,0,False,0.5076872515520441,0.5034522357882651,0.5499198851539674,0.692848782214074,0.8062773203642739,0.710349891340093,0.626912751049875,0.5435378669707321,0.45646213302926786,0.479798051330215,0.520201948669785,0.40700146016389294,0.5929985398361071,0.6911893901440421,0.3088106098559579,0.5047005720132415,0.4952994279867585,0.4033438207933313,0.5966561792066687,0.3601308264036981,0.6398691735963019,0.626912751049875,0.3601308264036981,0.6398691735963019,0.0034592138212908305,-0.0033852660034463474,-0.005074941188194948,-0.0034905776726620835,0.6693260480178354,0.7432429886175238,0.6689420173396065,0.49762496064970835,0.5023750393502917,0.5041456434095714,0.49585435659042865,0.5154883236010205,0.4845116763989795,0.5376997174058575,0.46230028259414246,0.2173004658340309,0.782699534165969,0.16105236850785318,0.8389476314921468,0.1426811126962249,0.8573188873037751,0.6886,0.6693333333333332,0.6587666666666667,0.9966943548387097,0.9910786762197202,0.9851730050637332,0.9912090725806452,0.983037120436711,0.9766875152785053,1.0,0.8645826819014298,42,0.5690897149315438,0.38777577343130004,0.6122242265686999,23.807607607607608,0.0,0.0001915938076019268,0.5615368597085993,0.43846314029140065,33.266666666666666,0.0,2.0,0.007526575187593538,0.13656456774787004,0.05511367488446452
6,1000,Isomap,0,False,0.4817322404047702,0.4755993325294797,0.4608169680731518,0.5979380908214751,0.7790938095328663,0.7330171507475015,0.74072488066823,0.3929680368812204,0.6070319631187795,0.3972459047524175,0.6027540952475825,0.4130857128803882,0.5869142871196118,0.5807656875340731,0.4192343124659269,0.4559387036966481,0.544061296303352,0.3700608512844,0.6299391487156,0.3180506816588188,0.6819493183411811,0.74072488066823,0.3180506816588188,0.6819493183411811,-0.0056706766932002,-0.0003848462261022,0.0028513947910971,0.0050068338908105,0.6707848099535872,0.7432298507658325,0.6749867251231058,0.5432977337531542,0.4567022662468458,0.5457445196080033,0.4542554803919967,0.5560602099266446,0.4439397900733554,0.5761798197119963,0.4238201802880037,0.3291903007130199,0.6708096992869801,0.2440239693879778,0.7559760306120221,0.2145185017351358,0.7854814982648641,0.2057999999999999,0.2779999999999999,0.3456,0.8931824596774194,0.8956517911975435,0.901396891915488,0.9807997983870969,0.9705016035482772,0.962564064955474,1.0,0.7918452645789724,42,,,,,,,,,,,,,,
6,1000,PCA,0,False,0.4956619640351655,0.5371332203521271,0.6065257487112815,0.7384881253835975,0.822883048272031,0.7183347562246911,0.6265015029274331,0.3673457606977611,0.6326542393022389,0.3588392475747571,0.6411607524252428,0.3481140571083826,0.6518859428916174,0.834900358523246,0.165099641476754,0.5826023731964344,0.4173976268035656,0.459270305215266,0.540729694784734,0.4009357440294712,0.5990642559705288,0.6265015029274331,0.4009357440294712,0.5990642559705288,0.0091704718144484,0.0052681742426826,0.0115006060321639,0.0225398825780644,0.6801803841098242,0.7580184275148593,0.7070699208631238,0.5409415299407057,0.4590584700592943,0.5462015645531885,0.4537984354468115,0.5557763458468993,0.4442236541531007,0.5733301756136038,0.4266698243863962,0.0761967983488212,0.9238032016511788,0.0561889325925884,0.9438110674074116,0.049932073480597,0.950067926519403,0.2286,0.3681999999999999,0.4562666666666667,0.9376102822580644,0.9418194472876152,0.9455729002968396,0.9843407258064516,0.9800674172637324,0.9773080146673652,1.0,0.9530000537986192,42,,,,,,,,,,,,,,
6,1000,PCC,0,True,0.3533140696333826,0.4198527005905116,0.5279447660624115,0.709461545619022,0.8194903551171537,0.7716859723649433,0.785239851404599,0.7391626563253911,0.2608373436746088,0.6905864546800132,0.3094135453199867,0.6294328608589458,0.3705671391410542,0.5602255884244867,0.4397744115755133,0.4125453447482947,0.5874546552517053,0.337132211894819,0.662867788105181,0.2942968471337601,0.7057031528662399,0.785239851404599,0.2942968471337601,0.7057031528662399,0.0065034378570842,-0.0016650239362352,-0.0022880545277523,0.0059618197494823,0.625664283056172,0.6912216491157444,0.6275554792834219,0.7266303061019391,0.2733696938980609,0.7272372281971675,0.2727627718028325,0.7300317956672087,0.2699682043327913,0.7356634501463647,0.2643365498536353,0.5133298342643374,0.4866701657356626,0.3882658485339967,0.6117341514660033,0.3401564380989902,0.6598435619010098,0.2098,0.2772666666666666,0.3504666666666666,0.914009879032258,0.9109060388945752,0.9144797625283744,0.9618054435483872,0.9509125895598772,0.9475083289680462,0.996,0.7020744149333084,42,,,,,,,,,,,,,,
6,1000,PCC,1,True,0.3335946599307849,0.402992656710863,0.512743859236928,0.6960955352777228,0.8083889673374994,0.7614003331017891,0.7725821698826032,0.8015883625457101,0.1984116374542899,0.7482023194465325,0.2517976805534675,0.6863389279121996,0.3136610720878003,0.5968710008648151,0.4031289991351848,0.4285443690036631,0.5714556309963369,0.3471666126906229,0.6528333873093771,0.3030803435216809,0.6969196564783191,0.7725821698826032,0.3030803435216809,0.6969196564783191,0.0077863797509376,-0.0001544245516052,-0.0011102255686383,0.0090038680117637,0.6095754778667382,0.6747357245892392,0.6152363189944272,0.7489987356193836,0.2510012643806164,0.7509336960163279,0.2490663039836721,0.755181549308907,0.2448184506910929,0.7623700429353546,0.2376299570646454,0.5434533971638992,0.4565466028361008,0.4085270685409233,0.5914729314590768,0.3552321989357316,0.6447678010642683,0.1984,0.2748,0.3489666666666666,0.9102745967741936,0.9067221426134424,0.910100646062511,0.949559879032258,0.939738109860116,0.9378836389034398,0.994,0.6952139770153248,42,,,,,,,,,,,,,,
6,1000,PCC,2,True,0.3223590567490627,0.3980172988984556,0.5122081476793809,0.6989463109328926,0.8138943736958308,0.7667973408291937,0.7779863072126126,0.7774785473153002,0.2225214526846998,0.7332639653051358,0.2667360346948642,0.6671073910844753,0.3328926089155247,0.5860718216465552,0.4139281783534447,0.4251680831978596,0.5748319168021404,0.3453940262763376,0.6546059737236625,0.301770369166481,0.698229630833519,0.7779863072126126,0.301770369166481,0.698229630833519,0.007086841033568,-0.000318676280956,0.0055995072214295,0.0175335606373751,0.6309875289611079,0.6950501297954662,0.6260545918159373,0.7333625801490081,0.2666374198509919,0.7350592720151152,0.2649407279848847,0.7383873473393485,0.2616126526606515,0.7450728740111461,0.2549271259888539,0.5185028169248832,0.4814971830751168,0.3905842847291957,0.6094157152708042,0.341882101164852,0.6581178988351479,0.2036,0.2791333333333333,0.3492,0.9157514112903226,0.9114251108836574,0.912442081368954,0.9564774193548388,0.9460924599112932,0.9426683429369652,0.987,0.7099406890817826,42,,,,,,,,,,,,,,
6,1000,PyMDE,0,True,0.4696932798668039,0.4911791572196095,0.5211055511358461,0.6223593973677843,0.6873898861204355,0.6542460797016636,0.6823065911407408,0.7665544955698235,0.2334455044301765,0.7084476782282728,0.2915523217717272,0.6407921792137375,0.3592078207862624,0.5567911881009058,0.4432088118990942,0.4182404612090226,0.5817595387909774,0.351465691689934,0.648534308310066,0.313018531339986,0.686981468660014,0.6823065911407408,0.313018531339986,0.686981468660014,0.0095109287358625,-0.0004211525865553,-0.006950443067161,-0.0008415842965588,0.4871779188897897,0.5351919529989151,0.4832586827007988,0.6785535568694986,0.3214464431305014,0.6816769824979255,0.3183230175020745,0.6887865763562937,0.3112134236437063,0.6994628406466104,0.3005371593533896,0.6783659766919797,0.3216340233080202,0.5311895811877769,0.4688104188122231,0.4639908877756911,0.5360091122243089,0.2254,0.3077333333333333,0.3762,0.8905931451612903,0.8923721596724667,0.8949214946743496,0.916742741935484,0.909283998635278,0.9025997904662126,0.99,0.4582064864046625,42,,,,,,,,,,,,,,
6,1000,PyMDE,1,True,0.4887578854480684,0.5184718693315278,0.5598984978404161,0.6757442498671234,0.7581005640824141,0.7096821864566825,0.7168961859836387,0.742896691494949,0.257103308505051,0.6852517747631214,0.3147482252368786,0.6249155064581112,0.3750844935418888,0.542426279425454,0.457573720574546,0.4000930888209421,0.5999069111790578,0.3352382159481856,0.6647617840518143,0.300681313535544,0.6993186864644559,0.7168961859836387,0.300681313535544,0.6993186864644559,0.0134722651270641,0.001372502071445,0.0012183970259629,0.009334337647192,0.5557905074871077,0.6156749851114646,0.5611744823743008,0.6811115009931255,0.3188884990068745,0.6834079607817944,0.3165920392182055,0.6890480686297166,0.3109519313702834,0.6994045297453912,0.3005954702546087,0.639557133204582,0.360442866795418,0.490274099394113,0.509725900605887,0.4247348904118281,0.5752651095881719,0.224,0.3166666666666666,0.3906333333333333,0.8939516129032258,0.8945549641760491,0.8991297363366509,0.9385826612903224,0.9328874786762196,0.9303431814213377,0.988,0.5350848482784952,42,,,,,,,,,,,,,,
6,1000,PyMDE,2,True,0.4834702786498107,0.5107304972139286,0.5542105138619524,0.6676867451755905,0.7394610810841324,0.6954769977102215,0.7042398701420438,0.7780309257164543,0.2219690742835457,0.7211000935310969,0.278899906468903,0.6515952331389004,0.3484047668610995,0.5615018428668198,0.4384981571331802,0.4121225113185612,0.5878774886814387,0.3428769706365557,0.6571230293634442,0.3063176196611091,0.6936823803388908,0.7042398701420438,0.3063176196611091,0.6936823803388908,0.0005941492158637,-0.0011014501547112,0.0059144558592474,0.0196591362393417,0.5351214263495951,0.5917987534027341,0.538504288195576,0.6866627602714597,0.3133372397285403,0.6898373262382163,0.3101626737617837,0.6947100292971121,0.3052899707028879,0.7030707093198332,0.2969292906801668,0.6632530117606307,0.3367469882393693,0.5107967424987597,0.4892032575012403,0.4424797434013583,0.5575202565986417,0.235,0.3164,0.3912333333333333,0.9020139112903226,0.9027734561583076,0.9031359525056748,0.9229701612903226,0.9211293074036164,0.9190870962109308,0.992,0.5113615244903348,42,,,,,,,,,,,,,,
6,1000,UMAP,0,True,0.4788680930135164,0.4827955602996828,0.5262657602745144,0.6727470111327329,0.7979581896229405,0.702818538125698,0.6170978138622346,0.5565002237912348,0.4434997762087652,0.5003000547089563,0.4996999452910436,0.4317104181496668,0.5682895818503332,0.6876113403194156,0.3123886596805844,0.5040175865772858,0.4959824134227142,0.4036245078356074,0.5963754921643926,0.3609233960870636,0.6390766039129363,0.6170978138622346,0.3609233960870636,0.6390766039129363,-0.0070544527553179,-0.007956406679763,-0.0141473690412091,-0.0165963760750203,0.6631653092720792,0.735545787696135,0.6628678473958045,0.5036661919626719,0.4963338080373281,0.5095087148211656,0.4904912851788344,0.5222402156488641,0.4777597843511358,0.5462854139928089,0.453714586007191,0.2199829935084198,0.7800170064915802,0.1631765028825894,0.8368234971174106,0.1446892367123789,0.855310763287621,0.5454,0.5989333333333333,0.6161666666666666,0.987373991935484,0.9821548277038552,0.9763149292823468,0.9923012096774192,0.984708222449676,0.9779192596472848,1.0,0.859890162716765,42,,,,,,,,,,,,,,
